Rotacja;Wiek;LataNaObecnymStanowisku;PodróżeSłużbowe;ZadowolenieZPracy;ZaangażowanieWPracę;ZadowolenieZeŚrodowiska;MiesięcznyDochód;StanCywilny;Nadgodziny;GrupaWiekowa;GrupaDochodowa;GrupaLataNaObecnymStanowisku
Tak;30;3;Częste podróże;1;2;Średnio zadowolony;6696;Wolny/Wolna;Nie;26-35;6001-8000;0-4
Tak;29;2;Rzadkie podróże;3;3;Średnio zadowolony;2058;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;45;7;Brak podróży;4;2;Zadowolony;8865;Wolny/Wolna;Nie;36-45;8001-10000;5-8
Nie;54;2;Rzadkie podróże;1;3;Zadowolony;5940;Żonaty/Zamężna;Nie;46-55;4001-6000;0-4
Nie;36;11;Rzadkie podróże;2;3;Zadowolony;5914;Wolny/Wolna;Nie;36-45;4001-6000;9-12
Nie;33;2;Rzadkie podróże;2;2;Średnio zadowolony;2622;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;37;8;Częste podróże;4;3;Średnio zadowolony;12185;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;5-8
Nie;38;10;Rzadkie podróże;3;3;Niezadowolony;10609;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;9-12
Nie;31;4;Brak podróży;3;1;Średnio zadowolony;4345;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;59;0;Rzadkie podróże;4;2;Średnio zadowolony;2177;Żonaty/Zamężna;Nie;56-65;2001-4000;0-4
Nie;37;8;Częste podróże;4;3;Niezadowolony;2793;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;5-8
Nie;29;10;Częste podróże;4;3;Średnio zadowolony;7918;Żonaty/Zamężna;Nie;26-35;6001-8000;9-12
Nie;35;7;Częste podróże;3;3;Średnio zadowolony;8789;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Tak;29;3;Rzadkie podróże;4;2;Średnio zadowolony;2389;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;52;2;Rzadkie podróże;4;2;Średnio zadowolony;3212;Wolny/Wolna;Nie;46-55;2001-4000;0-4
Nie;42;17;Rzadkie podróże;4;3;Średnio zadowolony;19232;Żonaty/Zamężna;Nie;36-45;10000+;17+
Nie;59;2;Rzadkie podróże;3;3;Średnio zadowolony;2267;Żonaty/Zamężna;Nie;56-65;2001-4000;0-4
Nie;50;0;Rzadkie podróże;4;3;Zadowolony;19517;Rozwiedziony/Rozwiedziona;Nie;46-55;10000+;0-4
Tak;33;4;Rzadkie podróże;4;3;Średnio zadowolony;2436;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Nie;43;13;Rzadkie podróże;4;3;Zadowolony;16064;Żonaty/Zamężna;Tak;36-45;10000+;13-16
Tak;33;7;Rzadkie podróże;1;3;Niezadowolony;2707;Żonaty/Zamężna;Nie;26-35;2001-4000;5-8
Nie;52;7;Brak podróży;3;2;Niezadowolony;19068;Wolny/Wolna;Tak;46-55;10000+;5-8
Nie;32;3;Rzadkie podróże;2;3;Średnio zadowolony;3931;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;32;2;Rzadkie podróże;3;2;Zadowolony;3730;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;39;2;Rzadkie podróże;3;3;Średnio zadowolony;2232;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Nie;32;2;Brak podróży;4;3;Średnio zadowolony;4465;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;41;0;Rzadkie podróże;1;3;Średnio zadowolony;3072;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Nie;40;8;Rzadkie podróże;4;3;Niezadowolony;3319;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;5-8
Nie;45;0;Rzadkie podróże;4;4;Średnio zadowolony;19202;Żonaty/Zamężna;Nie;36-45;10000+;0-4
Nie;31;2;Częste podróże;3;3;Średnio zadowolony;13675;Rozwiedziony/Rozwiedziona;Nie;26-35;10000+;0-4
Nie;33;2;Rzadkie podróże;4;2;Średnio zadowolony;2911;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;34;9;Rzadkie podróże;1;2;Zadowolony;5957;Żonaty/Zamężna;Nie;26-35;4001-6000;9-12
Nie;37;1;Rzadkie podróże;1;2;Średnio zadowolony;3920;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;45;2;Częste podróże;3;4;Niezadowolony;6434;Żonaty/Zamężna;Nie;36-45;6001-8000;0-4
Tak;37;0;Częste podróże;3;3;Niezadowolony;10048;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;0-4
Nie;39;6;Częste podróże;3;3;Średnio zadowolony;10938;Wolny/Wolna;Nie;36-45;10000+;5-8
Nie;29;5;Rzadkie podróże;4;3;Średnio zadowolony;2340;Wolny/Wolna;Nie;26-35;2001-4000;5-8
Nie;42;2;Rzadkie podróże;1;4;Zadowolony;6545;Wolny/Wolna;Tak;36-45;6001-8000;0-4
Nie;29;2;Rzadkie podróże;4;3;Zadowolony;6931;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;0-4
Nie;25;2;Rzadkie podróże;3;3;Niezadowolony;4898;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;42;6;Rzadkie podróże;1;2;Zadowolony;2593;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;5-8
Nie;40;7;Rzadkie podróże;3;3;Niezadowolony;19436;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;5-8
Nie;51;0;Rzadkie podróże;4;3;Średnio zadowolony;2723;Żonaty/Zamężna;Nie;46-55;2001-4000;0-4
Tak;31;4;Częste podróże;2;2;Średnio zadowolony;3479;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;32;1;Częste podróże;2;4;Średnio zadowolony;2794;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;38;7;Brak podróży;4;2;Zadowolony;5249;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;32;2;Rzadkie podróże;1;2;Zadowolony;2176;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;46;7;Rzadkie podróże;2;1;Średnio zadowolony;16872;Żonaty/Zamężna;Tak;46-55;10000+;5-8
Tak;28;0;Rzadkie podróże;3;3;Niezadowolony;3485;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;29;0;Rzadkie podróże;2;2;Niezadowolony;6644;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;31;0;Rzadkie podróże;4;2;Średnio zadowolony;5582;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;25;3;Brak podróży;1;4;Średnio zadowolony;4000;Rozwiedziony/Rozwiedziona;Nie;19-25;2001-4000;0-4
Nie;45;7;Rzadkie podróże;4;3;Średnio zadowolony;13496;Żonaty/Zamężna;Tak;36-45;10000+;5-8
Nie;36;13;Rzadkie podróże;4;3;Zadowolony;3210;Żonaty/Zamężna;Nie;36-45;2001-4000;13-16
Nie;55;10;Rzadkie podróże;1;3;Zadowolony;19045;Wolny/Wolna;Tak;46-55;10000+;9-12
Tak;47;7;Brak podróży;2;3;Niezadowolony;11849;Żonaty/Zamężna;Tak;46-55;10000+;5-8
Nie;28;2;Rzadkie podróże;4;3;Zadowolony;2070;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;37;4;Rzadkie podróże;4;3;Średnio zadowolony;6502;Żonaty/Zamężna;Nie;36-45;6001-8000;0-4
Nie;21;2;Rzadkie podróże;3;2;Zadowolony;3230;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;37;2;Brak podróży;4;3;Niezadowolony;13603;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;0-4
Nie;35;7;Rzadkie podróże;2;4;Średnio zadowolony;11996;Rozwiedziony/Rozwiedziona;Nie;26-35;10000+;5-8
Nie;38;0;Rzadkie podróże;1;4;Niezadowolony;5605;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;0-4
Nie;26;5;Częste podróże;2;3;Średnio zadowolony;6397;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;5-8
Nie;50;4;Rzadkie podróże;2;3;Niezadowolony;19144;Rozwiedziony/Rozwiedziona;Nie;46-55;10000+;0-4
Nie;53;3;Rzadkie podróże;3;3;Średnio zadowolony;17584;Żonaty/Zamężna;Tak;46-55;10000+;0-4
Nie;42;16;Rzadkie podróże;3;3;Średnio zadowolony;4907;Żonaty/Zamężna;Nie;36-45;4001-6000;13-16
Nie;29;7;Częste podróże;4;3;Średnio zadowolony;4554;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;55;7;Rzadkie podróże;4;3;Średnio zadowolony;5415;Żonaty/Zamężna;Tak;46-55;4001-6000;5-8
Nie;26;3;Częste podróże;1;3;Niezadowolony;4741;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;37;12;Rzadkie podróże;4;3;Zadowolony;2115;Wolny/Wolna;Nie;36-45;2001-4000;9-12
Tak;44;0;Częste podróże;3;3;Zadowolony;3161;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;0-4
Nie;38;2;Rzadkie podróże;4;3;Zadowolony;5745;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Tak;26;2;Rzadkie podróże;2;3;Niezadowolony;2373;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;28;3;Rzadkie podróże;4;3;Zadowolony;3310;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;49;2;Częste podróże;1;3;Średnio zadowolony;18665;Wolny/Wolna;Tak;46-55;10000+;0-4
Nie;36;0;Rzadkie podróże;2;3;Średnio zadowolony;4485;Wolny/Wolna;Nie;36-45;4001-6000;0-4
Nie;31;2;Częste podróże;2;3;Zadowolony;2789;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Tak;26;7;Rzadkie podróże;4;2;Zadowolony;5828;Wolny/Wolna;Tak;26-35;4001-6000;5-8
Nie;37;2;Częste podróże;4;3;Średnio zadowolony;2326;Żonaty/Zamężna;Tak;36-45;2001-4000;0-4
Nie;42;4;Częste podróże;2;3;Średnio zadowolony;13525;Żonaty/Zamężna;Nie;36-45;10000+;0-4
Tak;18;0;Rzadkie podróże;3;3;Średnio zadowolony;1420;Wolny/Wolna;Nie;0-18;0-2000;0-4
Nie;35;9;Rzadkie podróże;2;3;Średnio zadowolony;8020;Żonaty/Zamężna;Nie;26-35;8001-10000;9-12
Nie;36;0;Częste podróże;4;4;Średnio zadowolony;3688;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;51;1;Rzadkie podróże;2;1;Zadowolony;5482;Rozwiedziony/Rozwiedziona;Nie;46-55;4001-6000;0-4
Nie;41;10;Rzadkie podróże;2;3;Zadowolony;16015;Wolny/Wolna;Nie;36-45;10000+;9-12
Nie;18;0;Rzadkie podróże;3;2;Zadowolony;1200;Wolny/Wolna;Nie;0-18;0-2000;0-4
Nie;28;3;Rzadkie podróże;1;4;Średnio zadowolony;5661;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;31;7;Rzadkie podróże;4;4;Średnio zadowolony;6929;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Nie;39;10;Rzadkie podróże;4;4;Średnio zadowolony;9613;Rozwiedziony/Rozwiedziona;Nie;36-45;8001-10000;9-12
Nie;36;8;Brak podróży;2;3;Średnio zadowolony;5674;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Nie;32;8;Rzadkie podróże;3;2;Zadowolony;5484;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Nie;38;8;Rzadkie podróże;2;2;Niezadowolony;12061;Żonaty/Zamężna;Nie;36-45;10000+;5-8
Nie;58;3;Brak podróży;3;1;Zadowolony;5660;Rozwiedziony/Rozwiedziona;Tak;56-65;4001-6000;0-4
Nie;31;2;Rzadkie podróże;4;3;Średnio zadowolony;4821;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;31;2;Rzadkie podróże;1;2;Niezadowolony;6410;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;45;9;Częste podróże;1;3;Niezadowolony;5210;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;9-12
Nie;31;2;Rzadkie podróże;4;3;Średnio zadowolony;2695;Rozwiedziony/Rozwiedziona;Tak;26-35;2001-4000;0-4
Nie;33;6;Częste podróże;2;3;Zadowolony;11878;Żonaty/Zamężna;Nie;26-35;10000+;5-8
Nie;39;9;Rzadkie podróże;1;3;Średnio zadowolony;17068;Żonaty/Zamężna;Tak;36-45;10000+;9-12
Nie;43;7;Częste podróże;4;3;Średnio zadowolony;2455;Wolny/Wolna;Nie;36-45;2001-4000;5-8
Nie;49;1;Rzadkie podróże;3;2;Średnio zadowolony;13964;Wolny/Wolna;Tak;46-55;10000+;0-4
Tak;52;2;Rzadkie podróże;2;2;Średnio zadowolony;4941;Żonaty/Zamężna;Nie;46-55;4001-6000;0-4
Nie;27;3;Rzadkie podróże;2;3;Średnio zadowolony;2478;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;32;12;Rzadkie podróże;2;2;Średnio zadowolony;5228;Żonaty/Zamężna;Tak;26-35;4001-6000;9-12
Nie;27;4;Rzadkie podróże;3;3;Zadowolony;4478;Wolny/Wolna;Tak;26-35;4001-6000;0-4
Nie;31;7;Rzadkie podróże;4;3;Zadowolony;7547;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;5-8
Nie;32;7;Rzadkie podróże;4;4;Niezadowolony;5055;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Tak;28;2;Rzadkie podróże;4;1;Niezadowolony;3464;Żonaty/Zamężna;Tak;26-35;2001-4000;0-4
Nie;30;8;Rzadkie podróże;4;3;Zadowolony;5775;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Nie;31;9;Częste podróże;3;2;Średnio zadowolony;8943;Żonaty/Zamężna;Nie;26-35;8001-10000;9-12
Nie;39;9;Częste podróże;4;2;Średnio zadowolony;19272;Żonaty/Zamężna;Nie;36-45;10000+;9-12
Tak;39;0;Rzadkie podróże;3;3;Zadowolony;5238;Żonaty/Zamężna;Tak;36-45;4001-6000;0-4
Nie;33;7;Częste podróże;4;2;Średnio zadowolony;4682;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;47;2;Rzadkie podróże;3;3;Zadowolony;18300;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;43;7;Częste podróże;3;2;Średnio zadowolony;5257;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;5-8
Nie;27;4;Brak podróży;2;3;Średnio zadowolony;6349;Żonaty/Zamężna;Tak;26-35;6001-8000;0-4
Nie;54;3;Częste podróże;3;3;Zadowolony;4869;Wolny/Wolna;Nie;46-55;4001-6000;0-4
Nie;43;0;Rzadkie podróże;1;3;Średnio zadowolony;9985;Żonaty/Zamężna;Nie;36-45;8001-10000;0-4
Nie;45;9;Rzadkie podróże;4;3;Zadowolony;3697;Żonaty/Zamężna;Nie;36-45;2001-4000;9-12
Nie;40;3;Rzadkie podróże;4;1;Średnio zadowolony;7457;Żonaty/Zamężna;Tak;36-45;6001-8000;0-4
Tak;29;7;Rzadkie podróże;1;1;Średnio zadowolony;2119;Żonaty/Zamężna;Tak;26-35;2001-4000;5-8
Nie;29;2;Rzadkie podróże;4;2;Średnio zadowolony;3983;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;30;9;Rzadkie podróże;3;2;Zadowolony;6118;Rozwiedziony/Rozwiedziona;Nie;26-35;6001-8000;9-12
Nie;27;7;Rzadkie podróże;2;3;Średnio zadowolony;6214;Żonaty/Zamężna;Nie;26-35;6001-8000;5-8
Nie;37;2;Rzadkie podróże;4;3;Zadowolony;6347;Rozwiedziony/Rozwiedziona;Nie;36-45;6001-8000;0-4
Nie;38;10;Rzadkie podróże;4;2;Średnio zadowolony;11510;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;9-12
Nie;31;9;Rzadkie podróże;4;3;Średnio zadowolony;7143;Wolny/Wolna;Tak;26-35;6001-8000;9-12
Nie;29;7;Rzadkie podróże;2;2;Zadowolony;8268;Rozwiedziony/Rozwiedziona;Tak;26-35;8001-10000;5-8
Nie;35;6;Rzadkie podróże;2;3;Średnio zadowolony;8095;Wolny/Wolna;Nie;26-35;8001-10000;5-8
Nie;23;2;Rzadkie podróże;4;3;Średnio zadowolony;2904;Rozwiedziony/Rozwiedziona;Nie;19-25;2001-4000;0-4
Nie;41;4;Rzadkie podróże;2;2;Zadowolony;6032;Wolny/Wolna;Tak;36-45;6001-8000;0-4
Nie;47;0;Częste podróże;3;3;Średnio zadowolony;2976;Wolny/Wolna;Nie;46-55;2001-4000;0-4
Nie;42;0;Rzadkie podróże;4;3;Niezadowolony;15992;Wolny/Wolna;Nie;36-45;10000+;0-4
Nie;29;3;Brak podróży;3;3;Zadowolony;4649;Żonaty/Zamężna;Nie;26-35;4001-6000;0-4
Nie;42;2;Rzadkie podróże;3;3;Średnio zadowolony;2696;Rozwiedziony/Rozwiedziona;Tak;36-45;2001-4000;0-4
Nie;32;0;Rzadkie podróże;2;3;Średnio zadowolony;2370;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;48;0;Rzadkie podróże;3;3;Niezadowolony;12504;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;37;7;Rzadkie podróże;1;4;Średnio zadowolony;5974;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;5-8
Nie;30;2;Brak podróży;3;3;Zadowolony;4736;Żonaty/Zamężna;Tak;26-35;4001-6000;0-4
Nie;26;7;Rzadkie podróże;3;3;Średnio zadowolony;5296;Żonaty/Zamężna;Nie;26-35;4001-6000;5-8
Nie;42;0;Rzadkie podróże;4;2;Niezadowolony;6781;Wolny/Wolna;Nie;36-45;6001-8000;0-4
Tak;21;2;Częste podróże;2;2;Niezadowolony;2174;Wolny/Wolna;Tak;19-25;2001-4000;0-4
Nie;36;0;Brak podróży;4;3;Zadowolony;6653;Wolny/Wolna;Nie;36-45;6001-8000;0-4
Nie;36;9;Częste podróże;4;2;Niezadowolony;9699;Żonaty/Zamężna;Nie;36-45;8001-10000;9-12
Nie;57;2;Rzadkie podróże;3;3;Zadowolony;6755;Żonaty/Zamężna;Nie;56-65;6001-8000;0-4
Nie;40;7;Rzadkie podróże;3;4;Zadowolony;2213;Żonaty/Zamężna;Tak;36-45;2001-4000;5-8
Nie;21;2;Brak podróży;4;3;Niezadowolony;2610;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Tak;33;0;Rzadkie podróże;3;3;Zadowolony;2851;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;37;4;Rzadkie podróże;1;3;Średnio zadowolony;3452;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;46;0;Brak podróży;3;3;Średnio zadowolony;5258;Żonaty/Zamężna;Nie;46-55;4001-6000;0-4
Tak;41;7;Częste podróże;2;3;Niezadowolony;9355;Wolny/Wolna;Nie;36-45;8001-10000;5-8
Nie;50;3;Rzadkie podróże;4;2;Zadowolony;10496;Wolny/Wolna;Nie;46-55;10000+;0-4
Tak;40;4;Rzadkie podróże;3;2;Średnio zadowolony;6380;Żonaty/Zamężna;Tak;36-45;6001-8000;0-4
Nie;31;2;Rzadkie podróże;2;2;Średnio zadowolony;2657;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Tak;21;0;Rzadkie podróże;2;4;Średnio zadowolony;2716;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;29;2;Rzadkie podróże;4;3;Zadowolony;2201;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;35;1;Rzadkie podróże;2;2;Średnio zadowolony;6540;Wolny/Wolna;Nie;26-35;6001-8000;0-4
Nie;27;2;Rzadkie podróże;2;3;Zadowolony;3816;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;28;5;Rzadkie podróże;4;3;Średnio zadowolony;5253;Wolny/Wolna;Nie;26-35;4001-6000;5-8
Nie;49;2;Rzadkie podróże;3;2;Średnio zadowolony;10965;Wolny/Wolna;Nie;46-55;10000+;0-4
Nie;51;7;Rzadkie podróże;4;3;Średnio zadowolony;4936;Żonaty/Zamężna;Nie;46-55;4001-6000;5-8
Nie;36;2;Rzadkie podróże;3;3;Zadowolony;2543;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Tak;34;2;Brak podróży;4;4;Niezadowolony;5304;Wolny/Wolna;Tak;26-35;4001-6000;0-4
Nie;55;4;Rzadkie podróże;4;3;Średnio zadowolony;16659;Wolny/Wolna;Tak;46-55;10000+;0-4
Nie;24;2;Rzadkie podróże;3;3;Zadowolony;4260;Rozwiedziony/Rozwiedziona;Tak;19-25;4001-6000;0-4
Nie;30;0;Rzadkie podróże;2;3;Średnio zadowolony;2476;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;26;4;Częste podróże;1;3;Średnio zadowolony;3102;Wolny/Wolna;Nie;26-35;2001-4000;0-4
Nie;22;1;Rzadkie podróże;2;3;Niezadowolony;2244;Żonaty/Zamężna;Nie;19-25;2001-4000;0-4
Nie;36;9;Rzadkie podróże;3;2;Średnio zadowolony;7596;Żonaty/Zamężna;Nie;36-45;6001-8000;9-12
Tak;30;0;Częste podróże;4;3;Średnio zadowolony;2285;Wolny/Wolna;Tak;26-35;2001-4000;0-4
Nie;37;7;Rzadkie podróże;1;3;Zadowolony;3034;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;5-8
Nie;40;4;Rzadkie podróże;2;3;Zadowolony;5715;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Nie;42;2;Rzadkie podróże;1;3;Średnio zadowolony;2576;Rozwiedziony/Rozwiedziona;Nie;36-45;2001-4000;0-4
Nie;37;0;Rzadkie podróże;2;3;Średnio zadowolony;4197;Wolny/Wolna;Tak;36-45;4001-6000;0-4
Nie;43;10;Rzadkie podróże;2;2;Niezadowolony;14336;Rozwiedziony/Rozwiedziona;Nie;36-45;10000+;9-12
Nie;40;0;Rzadkie podróże;3;2;Średnio zadowolony;3448;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;54;2;Rzadkie podróże;1;3;Niezadowolony;19406;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;34;2;Brak podróży;3;3;Średnio zadowolony;6538;Żonaty/Zamężna;Nie;26-35;6001-8000;0-4
Nie;31;10;Rzadkie podróże;1;3;Średnio zadowolony;4306;Żonaty/Zamężna;Nie;26-35;4001-6000;9-12
Nie;43;2;Częste podróże;4;3;Zadowolony;2258;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;43;2;Rzadkie podróże;3;3;Średnio zadowolony;4522;Rozwiedziony/Rozwiedziona;Tak;36-45;4001-6000;0-4
Nie;25;4;Rzadkie podróże;4;2;Średnio zadowolony;4487;Wolny/Wolna;Tak;19-25;4001-6000;0-4
Nie;37;11;Brak podróży;3;3;Średnio zadowolony;4449;Żonaty/Zamężna;Tak;36-45;4001-6000;9-12
Nie;31;2;Rzadkie podróże;1;2;Zadowolony;2218;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;39;8;Częste podróże;3;3;Średnio zadowolony;19197;Rozwiedziony/Rozwiedziona;Tak;36-45;10000+;5-8
Nie;56;7;Częste podróże;1;4;Średnio zadowolony;13212;Żonaty/Zamężna;Nie;56-65;10000+;5-8
Nie;30;4;Rzadkie podróże;3;3;Średnio zadowolony;6577;Wolny/Wolna;Nie;26-35;6001-8000;0-4
Nie;41;7;Rzadkie podróże;1;4;Średnio zadowolony;8392;Żonaty/Zamężna;Nie;36-45;8001-10000;5-8
Nie;28;0;Rzadkie podróże;1;3;Średnio zadowolony;4558;Rozwiedziony/Rozwiedziona;Nie;26-35;4001-6000;0-4
Tak;25;2;Rzadkie podróże;1;3;Niezadowolony;4031;Żonaty/Zamężna;Nie;19-25;4001-6000;0-4
Nie;52;4;Rzadkie podróże;3;2;Zadowolony;7969;Żonaty/Zamężna;Tak;46-55;6001-8000;0-4
Nie;45;2;Rzadkie podróże;4;3;Niezadowolony;2654;Żonaty/Zamężna;Nie;36-45;2001-4000;0-4
Nie;52;2;Rzadkie podróże;4;3;Zadowolony;16555;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;42;4;Częste podróże;3;3;Niezadowolony;4556;Rozwiedziony/Rozwiedziona;Nie;36-45;4001-6000;0-4
Nie;30;4;Rzadkie podróże;4;1;Średnio zadowolony;6091;Wolny/Wolna;Nie;26-35;6001-8000;0-4
Nie;60;8;Rzadkie podróże;1;3;Niezadowolony;19566;Żonaty/Zamężna;Nie;56-65;10000+;5-8
Nie;46;7;Rzadkie podróże;3;3;Średnio zadowolony;4810;Rozwiedziony/Rozwiedziona;Nie;46-55;4001-6000;5-8
Nie;42;5;Częste podróże;4;2;Zadowolony;4523;Żonaty/Zamężna;Nie;36-45;4001-6000;5-8
Tak;24;3;Rzadkie podróże;2;3;Niezadowolony;3202;Wolny/Wolna;Tak;19-25;2001-4000;0-4
Tak;34;2;Częste podróże;3;1;Zadowolony;2351;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;38;0;Częste podróże;4;3;Zadowolony;1702;Żonaty/Zamężna;Tak;36-45;0-2000;0-4
Nie;40;15;Rzadkie podróże;3;3;Średnio zadowolony;18041;Żonaty/Zamężna;Nie;36-45;10000+;13-16
Nie;26;2;Rzadkie podróże;4;3;Niezadowolony;2886;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;30;3;Brak podróży;4;3;Średnio zadowolony;2097;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Nie;29;2;Rzadkie podróże;3;2;Średnio zadowolony;11935;Żonaty/Zamężna;Nie;26-35;10000+;0-4
Tak;29;2;Rzadkie podróże;2;2;Średnio zadowolony;2546;Żonaty/Zamężna;Nie;26-35;2001-4000;0-4
Tak;19;0;Rzadkie podróże;4;2;Niezadowolony;2564;Wolny/Wolna;Nie;19-25;2001-4000;0-4
Nie;30;8;Brak podróży;1;3;Średnio zadowolony;8412;Żonaty/Zamężna;Nie;26-35;8001-10000;5-8
Nie;57;0;Rzadkie podróże;4;2;Niezadowolony;14118;Rozwiedziony/Rozwiedziona;Nie;56-65;10000+;0-4
Nie;50;10;Rzadkie podróże;3;2;Średnio zadowolony;17046;Żonaty/Zamężna;Nie;46-55;10000+;9-12
Nie;30;7;Brak podróży;4;3;Średnio zadowolony;2564;Wolny/Wolna;Nie;26-35;2001-4000;5-8
Nie;60;13;Częste podróże;1;2;Średnio zadowolony;10266;Żonaty/Zamężna;Nie;56-65;10000+;13-16
Nie;47;0;Rzadkie podróże;4;3;Niezadowolony;5070;Rozwiedziony/Rozwiedziona;Nie;46-55;4001-6000;0-4
Nie;46;2;Rzadkie podróże;3;3;Niezadowolony;17861;Żonaty/Zamężna;Nie;46-55;10000+;0-4
Nie;35;4;Rzadkie podróże;3;1;Zadowolony;4230;Wolny/Wolna;Nie;26-35;4001-6000;0-4
Nie;54;0;Rzadkie podróże;3;3;Średnio zadowolony;3780;Wolny/Wolna;Nie;46-55;2001-4000;0-4
Nie;34;3;Rzadkie podróże;3;2;Zadowolony;2768;Rozwiedziony/Rozwiedziona;Nie;26-35;2001-4000;0-4
Nie;46;2;Rzadkie podróże;4;2;Średnio zadowolony;9071;Żonaty/Zamężna;Tak;46-55;8001-10000;0-4
